skewness,song,spectral_rolloff,energy,spread,centroid,zcr,genre,kurtosis
8.418978e-01,electronic_vs_classical/07 - Touch.mp3,1.130224e+04,2.031729e-01,3.724196e+03,3.513146e+03,4.235840e-02,electronic,-1.072123e+01
6.996266e+00,electronic_vs_classical/07 - Touch.mp3,1.488483e+03,1.080453e-01,8.671982e+02,5.168999e+02,2.127075e-02,electronic,7.128267e+01
1.937018e+00,electronic_vs_classical/07 - Touch.mp3,1.005331e+03,1.753275e-01,2.827611e+03,1.705364e+03,3.628540e-02,electronic,-2.375905e-01
1.918030e+00,electronic_vs_classical/07 - Touch.mp3,1.312180e+03,2.256989e-01,2.797133e+03,1.737722e+03,2.688599e-02,electronic,-5.148825e-01
9.950778e-01,electronic_vs_classical/07 - Touch.mp3,9.182565e+03,1.359821e-01,3.258514e+03,3.097787e+03,4.794312e-02,electronic,-1.047469e+01
1.413920e+00,electronic_vs_classical/07 - Touch.mp3,2.258295e+03,2.341791e-01,3.089552e+03,2.250703e+03,2.847290e-02,electronic,-4.038151e+00
3.841666e+00,electronic_vs_classical/13 - Contact.mp3,2.764325e+03,1.030524e-01,1.162193e+03,1.247401e+03,4.785156e-02,electronic,1.006295e+01
3.014695e+00,electronic_vs_classical/13 - Contact.mp3,3.325534e+03,1.595480e-01,1.272116e+03,1.080965e+03,3.900146e-02,electronic,6.834329e+00
3.266638e+00,electronic_vs_classical/13 - Contact.mp3,1.876080e+03,1.810034e-01,1.444546e+03,9.927775e+02,2.966309e-02,electronic,9.663670e+00
1.907741e+00,electronic_vs_classical/13 - Contact.mp3,4.154562e+03,1.568506e-01,2.378050e+03,2.071358e+03,4.928589e-02,electronic,-4.528978e+00
8.865534e-01,electronic_vs_classical/13 - Contact.mp3,1.120265e+04,2.189818e-01,3.333546e+03,3.256439e+03,7.421875e-02,electronic,-1.160676e+01
1.427932e+00,electronic_vs_classical/13 - Contact.mp3,5.262177e+03,2.601496e-01,2.773017e+03,2.303408e+03,4.428101e-02,electronic,-5.692414e+00
1.165639e+00,electronic_vs_classical/13 - Contact.mp3,7.634866e+03,2.940578e-01,3.283998e+03,2.905085e+03,6.335449e-02,electronic,-8.148096e+00
1.051831e+00,electronic_vs_classical/13 - Contact.mp3,1.120803e+04,2.353776e-01,3.365163e+03,3.174228e+03,1.052246e-01,electronic,-1.014640e+01
1.181583e+00,electronic_vs_classical/13 - Contact.mp3,1.189709e+04,2.487531e-01,3.138901e+03,3.111436e+03,1.050110e-01,electronic,-1.126040e+01
1.546985e+00,electronic_vs_classical/13 - Contact.mp3,4.779025e+03,2.957235e-01,2.766951e+03,2.331843e+03,4.132080e-02,electronic,-5.631661e+00
4.209995e+00,electronic_vs_classical/01-beethoven-symphony_nr_5-atm.mp3,1.181635e+03,1.622418e-02,1.852875e+03,1.152690e+03,2.468872e-02,classical,1.794089e+01
2.306994e+00,electronic_vs_classical/01-beethoven-symphony_nr_5-atm.mp3,4.723846e+03,5.920812e-02,2.150786e+03,1.717524e+03,5.627441e-02,classical,-5.906062e-02
3.475750e+00,electronic_vs_classical/01-beethoven-symphony_nr_5-atm.mp3,2.518039e+03,1.238298e-02,1.875979e+03,1.373541e+03,3.747559e-02,classical,1.054701e+01
2.796098e+00,electronic_vs_classical/01-beethoven-symphony_nr_5-atm.mp3,3.987680e+03,4.970655e-02,1.620982e+03,1.340347e+03,4.437256e-02,classical,3.637594e+00
4.682247e+00,electronic_vs_classical/01-beethoven-symphony_nr_5-atm.mp3,2.150629e+03,1.197857e-02,1.617680e+03,9.549270e+02,2.603149e-02,classical,2.515374e+01
3.553347e+00,electronic_vs_classical/01-beethoven-symphony_nr_5-atm.mp3,2.403644e+03,8.716683e-02,1.425690e+03,9.870436e+02,3.021240e-02,classical,1.259743e+01
4.392441e+00,electronic_vs_classical/01-beethoven-symphony_nr_5-atm.mp3,2.384802e+03,8.561794e-03,1.896437e+03,1.142335e+03,3.576660e-02,classical,1.902464e+01
3.332304e+00,electronic_vs_classical/01-beethoven-symphony_nr_5-atm.mp3,2.680884e+03,5.281091e-02,1.355803e+03,1.010139e+03,2.883911e-02,classical,1.117792e+01
2.924312e+00,electronic_vs_classical/01-beethoven-symphony_nr_5-atm.mp3,3.234018e+03,4.247249e-02,1.728214e+03,1.624147e+03,6.378174e-02,classical,1.082693e+00
5.860067e+00,electronic_vs_classical/01-beethoven-symphony_nr_5-atm.mp3,1.983746e+03,3.756237e-02,1.058282e+03,6.924021e+02,2.798462e-02,classical,4.942464e+01
1.335343e+00,electronic_vs_classical/02 - The game of love.mp3,6.446503e+02,7.681032e-02,3.552530e+03,2.451536e+03,2.053833e-02,electronic,-3.895346e+00
1.092977e+00,electronic_vs_classical/02 - The game of love.mp3,3.309384e+03,9.480783e-02,3.880462e+03,3.015006e+03,4.138184e-02,electronic,-6.171058e+00
1.560700e+00,electronic_vs_classical/02 - The game of love.mp3,2.943320e+03,1.178797e-01,3.364253e+03,2.336359e+03,3.482056e-02,electronic,-3.203713e+00
1.246578e+00,electronic_vs_classical/02 - The game of love.mp3,6.208292e+03,2.395374e-01,2.961128e+03,2.503687e+03,3.634644e-02,electronic,-6.521826e+00
1.022634e+00,electronic_vs_classical/02 - The game of love.mp3,9.823178e+03,1.604178e-01,3.274079e+03,3.038856e+03,4.064941e-02,electronic,-9.758499e+00
2.779131e+00,electronic_vs_classical/02 - The game of love.mp3,1.306796e+03,2.112283e-01,2.384701e+03,1.262770e+03,1.733398e-02,electronic,5.087925e+00
